epoch,step,train_acc,train_loss,val_acc,val_loss
0,31,,,1.0,0.008754471316933632
1,49,1.0,0.0006585592054761946,,
1,63,,,1.0,0.00023954329662956297
2,95,,,1.0,0.00010581185051705688
3,99,1.0,0.00011268022353760898,,
3,127,,,1.0,5.933512147748843e-05
4,149,1.0,3.704671689774841e-05,,
4,159,,,1.0,3.4788336051860824e-05
5,191,,,1.0,1.8590386389405467e-05
6,199,1.0,2.0157151084276848e-05,,
6,223,,,1.0,1.0596414540486876e-05
7,249,1.0,7.703851224505343e-06,,
7,255,,,1.0,6.57435339235235e-06
8,287,,,1.0,4.4321832319837995e-06
9,299,1.0,5.029123258282198e-06,,
9,319,,,1.0,3.1691693038737867e-06
